interested_id,user_id,product_id
1,"[{""value"":397},{""value"":350}]",1
2,"[{""value"":475},{""value"":753},{""value"":896},{""value"":50},{""value"":946}]",2
3,"[{""value"":664},{""value"":771},{""value"":306},{""value"":340},{""value"":787}]",3
4,"[{""value"":859},{""value"":980},{""value"":162},{""value"":761},{""value"":707}]",4
5,"[{""value"":24},{""value"":391},{""value"":533}]",5
6,"[{""value"":582}]",6
7,"[{""value"":485},{""value"":269},{""value"":234},{""value"":918}]",7
8,"[{""value"":692},{""value"":692}]",8
9,"[{""value"":399}]",9
10,"[{""value"":220},{""value"":677},{""value"":692},{""value"":562},{""value"":128}]",10
11,"[{""value"":653},{""value"":677},{""value"":949}]",11
12,"[{""value"":351},{""value"":931}]",12
13,"[{""value"":701},{""value"":582},{""value"":144},{""value"":498}]",13
14,"[{""value"":743},{""value"":690}]",14
15,"[{""value"":69},{""value"":11},{""value"":28},{""value"":472},{""value"":490}]",15
16,"[{""value"":799},{""value"":105},{""value"":769},{""value"":423},{""value"":462}]",16
17,"[{""value"":78},{""value"":260}]",17
18,"[{""value"":220},{""value"":899}]",18
19,"[{""value"":874},{""value"":590},{""value"":102}]",19
20,"[{""value"":719},{""value"":617}]",20
21,"[{""value"":439}]",21
22,"[{""value"":409},{""value"":530}]",22
23,"[{""value"":100},{""value"":6}]",23
24,"[{""value"":954}]",24
25,"[{""value"":618},{""value"":903},{""value"":549},{""value"":538}]",25
26,"[{""value"":227},{""value"":191},{""value"":18},{""value"":348}]",26
27,"[{""value"":364},{""value"":401},{""value"":610}]",27
28,"[{""value"":626}]",28
29,"[{""value"":972},{""value"":743}]",29
30,"[{""value"":616},{""value"":703}]",30
31,"[{""value"":459},{""value"":103},{""value"":735}]",31
32,"[{""value"":904},{""value"":941},{""value"":815}]",32
33,"[{""value"":959},{""value"":466},{""value"":859},{""value"":174}]",33
34,"[{""value"":722},{""value"":867}]",34
35,"[{""value"":405},{""value"":322},{""value"":162},{""value"":760}]",35
36,"[{""value"":452},{""value"":117},{""value"":850},{""value"":996}]",36
37,"[{""value"":203},{""value"":614},{""value"":576},{""value"":1},{""value"":167}]",37
38,"[{""value"":953},{""value"":306},{""value"":481}]",38
39,"[{""value"":836},{""value"":311},{""value"":700}]",39
40,"[{""value"":978},{""value"":748},{""value"":192},{""value"":966}]",40
41,"[{""value"":392},{""value"":409},{""value"":164},{""value"":3},{""value"":967}]",41
42,"[{""value"":263},{""value"":816},{""value"":457},{""value"":743},{""value"":578}]",42
43,"[{""value"":790},{""value"":796},{""value"":306}]",43
44,"[{""value"":380},{""value"":157},{""value"":688}]",44
45,"[{""value"":447},{""value"":147},{""value"":172}]",45
46,"[{""value"":35},{""value"":518},{""value"":283}]",46
47,"[{""value"":447},{""value"":699}]",47
48,"[{""value"":864},{""value"":439},{""value"":828}]",48
49,"[{""value"":350},{""value"":730}]",49
50,"[{""value"":368}]",50
51,"[{""value"":138},{""value"":862},{""value"":226},{""value"":350}]",51
52,"[{""value"":605},{""value"":728},{""value"":140}]",52
53,"[{""value"":265},{""value"":712},{""value"":959},{""value"":44},{""value"":356}]",53
54,"[{""value"":499},{""value"":692},{""value"":967}]",54
55,"[{""value"":488},{""value"":977}]",55
56,"[{""value"":267},{""value"":84},{""value"":739},{""value"":860},{""value"":369}]",56
57,"[{""value"":217},{""value"":4}]",57
58,"[{""value"":761},{""value"":436},{""value"":790}]",58
59,"[{""value"":764}]",59
60,"[{""value"":898}]",60
61,"[{""value"":957}]",61
62,"[{""value"":816},{""value"":480},{""value"":845}]",62
63,"[{""value"":525},{""value"":802},{""value"":460},{""value"":554}]",63
64,"[{""value"":100},{""value"":546},{""value"":625},{""value"":231},{""value"":877}]",64
65,"[{""value"":500},{""value"":961}]",65
66,"[{""value"":680},{""value"":669},{""value"":689}]",66
67,"[{""value"":404},{""value"":228},{""value"":632},{""value"":120},{""value"":973}]",67
68,"[{""value"":567},{""value"":203}]",68
69,"[{""value"":934},{""value"":799},{""value"":198}]",69
70,"[{""value"":221},{""value"":527},{""value"":403},{""value"":837},{""value"":194}]",70
