product_id,sell_id,buyer_id,purchase_date,amount,payment_method
1,1,2,9/27/2021,4331.66,paypal
2,2,3,5/8/2022,3546.12,credit_card
3,3,4,7/28/2023,4744.6,cash
4,4,5,10/18/2020,1333.85,cash
5,5,6,6/8/2021,4846.86,paypal
6,6,7,10/7/2025,2687.75,credit_card
7,7,8,10/5/2023,1404.8,credit_card
8,8,9,6/17/2025,4017.23,credit_card
9,9,10,6/7/2023,4751.98,credit_card
10,10,11,2/8/2025,3139.46,cash
11,11,12,5/7/2025,327.8,paypal
12,12,13,1/23/2023,2911.3,paypal
13,13,14,9/11/2025,4837.23,paypal
14,14,15,9/25/2025,1033.58,credit_card
15,15,16,6/21/2021,288.9,cash
16,16,17,2/16/2022,4612.58,paypal
17,17,18,4/8/2023,1904.23,credit_card
18,18,19,2/5/2022,1448.84,cash
19,19,20,3/28/2025,2569.43,credit_card
20,20,21,6/18/2024,1152.35,cash
21,21,22,6/11/2021,2469.87,paypal
22,22,23,4/12/2022,849.26,paypal
23,23,24,7/9/2023,1055.77,credit_card
24,24,25,12/30/2021,4600.08,credit_card
25,25,26,7/17/2021,1769.08,cash
26,26,27,2/7/2023,3067.22,credit_card
27,27,28,12/13/2025,2867.78,credit_card
28,28,29,3/24/2020,162.42,paypal
29,29,30,11/8/2025,566.55,paypal
30,30,31,5/16/2024,4558.25,paypal
31,31,32,5/5/2024,3044.52,credit_card
32,32,33,2/10/2022,2107.1,credit_card
33,33,34,7/25/2022,1755.41,credit_card
34,34,35,4/5/2021,2776.58,cash
35,35,36,12/31/2022,2191.1,credit_card
36,36,37,4/13/2022,238.39,credit_card
37,37,38,8/30/2021,212.05,cash
38,38,39,7/17/2021,1120.18,credit_card
39,39,40,10/16/2025,2775.65,credit_card
40,40,41,7/5/2020,3557.85,cash
41,41,42,2/11/2022,3994.67,cash
42,42,43,7/19/2023,1310.18,paypal
43,43,44,3/19/2020,3960.71,credit_card
44,44,45,8/31/2021,2280.03,paypal
45,45,46,9/15/2021,3814.95,cash
46,46,47,1/29/2025,4948.07,credit_card
47,47,48,1/17/2020,3917.89,paypal
48,48,49,10/29/2023,2534.55,credit_card
49,49,50,1/16/2022,2178.1,paypal
50,50,51,8/29/2024,3735.6,credit_card
51,51,52,6/30/2023,4655.32,cash
52,52,53,3/14/2021,1655.85,credit_card
53,53,54,5/17/2021,3271.42,paypal
