product_id,sell_id,buyer_id,purchase_date,amount,payment_method
1,1,2,12/10/2024,187.6,cash
2,2,3,2/16/2023,812.66,paypal
3,3,4,9/13/2024,4245.58,credit_card
4,4,5,6/19/2024,1964.2,credit_card
5,5,6,12/5/2022,3138.54,paypal
6,6,7,12/21/2024,3995.73,cash
7,7,8,9/13/2023,1131.34,credit_card
8,8,9,6/2/2023,4118.07,paypal
9,9,10,10/20/2021,239.09,paypal
10,10,11,8/11/2020,1571.09,cash
11,11,12,11/16/2020,1715.02,cash
12,12,13,2/20/2024,3849.48,credit_card
13,13,14,4/26/2025,1197.4,cash
14,14,15,9/26/2022,2296.57,cash
15,15,16,1/17/2021,12.74,paypal
16,16,17,5/15/2021,2107.82,paypal
17,17,18,10/6/2021,980.99,cash
18,18,19,8/7/2025,4390.12,paypal
19,19,20,8/6/2021,1102.77,paypal
20,20,21,8/1/2023,4670.18,credit_card
21,21,22,3/3/2020,4052.54,paypal
22,22,23,2/25/2023,869.82,cash
23,23,24,6/13/2021,1894.25,paypal
24,24,25,10/4/2023,2930.71,paypal
25,25,26,7/19/2023,1694.34,cash
26,26,27,6/20/2020,2703.87,cash
27,27,28,7/16/2024,4493.05,paypal
28,28,29,8/1/2022,2536.8,cash
29,29,30,10/29/2020,2403.76,paypal
30,30,31,10/24/2025,2196.74,paypal
31,31,32,2/9/2024,3461.21,credit_card
32,32,33,8/1/2021,124.79,credit_card
33,33,34,8/22/2024,4433.0,paypal
34,34,35,8/15/2024,1013.92,paypal
35,35,36,5/19/2021,4205.61,credit_card
36,36,37,3/15/2021,492.87,paypal
37,37,38,9/18/2024,1294.38,paypal
38,38,39,7/11/2025,1008.66,cash
39,39,40,5/23/2022,3203.29,paypal
40,40,41,6/6/2025,4659.17,cash
41,41,42,11/23/2025,3087.83,credit_card
42,42,43,2/22/2025,2800.44,cash
43,43,44,11/27/2022,1680.4,credit_card
44,44,45,11/7/2021,3414.02,cash
45,45,46,7/28/2023,4529.26,credit_card
46,46,47,3/5/2021,110.01,cash
47,47,48,11/10/2022,3714.91,cash
48,48,49,1/2/2024,1158.51,credit_card
49,49,50,2/6/2020,1229.4,paypal
50,50,51,8/19/2021,2601.14,credit_card
51,51,52,12/23/2024,1945.58,paypal
52,52,53,2/19/2025,211.69,cash
53,53,54,5/8/2022,3010.47,cash
54,54,55,7/23/2021,2922.05,cash
55,55,56,9/3/2025,4636.72,paypal
56,56,57,10/30/2023,4008.4,credit_card
57,57,58,9/25/2025,3186.38,cash
